name,priority,direction,access,protocol,source_port_range,destination_port_range,source_address_prefix,destination_address_prefix
in-test101,101,Inbound,Allow,Tcp,101,101,*,*
in-test102,102,Inbound,Allow,Tcp,102,102,*,*
in-test103,103,Inbound,Allow,Tcp,103,103,*,*
in-test104,104,Inbound,Allow,Tcp,104,104,*,*
in-test105,105,Inbound,Allow,Tcp,105,105,*,*
in-test106,106,Inbound,Allow,Tcp,106,106,*,*
in-test107,107,Inbound,Allow,Tcp,107,107,*,*
in-test108,108,Inbound,Allow,Tcp,108,108,*,*
in-test109,109,Inbound,Allow,Tcp,109,109,*,*
in-test110,110,Inbound,Allow,Tcp,110,110,*,*
in-test111,111,Inbound,Allow,Tcp,111,111,*,*
in-test112,112,Inbound,Allow,Tcp,112,112,*,*
in-test113,113,Inbound,Allow,Tcp,113,113,*,*
in-test114,114,Inbound,Allow,Tcp,114,114,*,*
in-test115,115,Inbound,Allow,Tcp,115,115,*,*
in-test116,116,Inbound,Allow,Tcp,116,116,*,*
in-test117,117,Inbound,Allow,Tcp,117,117,*,*
in-test118,118,Inbound,Allow,Tcp,118,118,*,*
in-test119,119,Inbound,Allow,Tcp,119,119,*,*
in-test120,120,Inbound,Allow,Tcp,120,120,*,*
in-test121,121,Inbound,Allow,Tcp,121,121,*,*
in-test122,122,Inbound,Allow,Tcp,122,122,*,*
in-test123,123,Inbound,Allow,Tcp,123,123,*,*
in-test124,124,Inbound,Allow,Tcp,124,124,*,*
in-test125,125,Inbound,Allow,Tcp,125,125,*,*
in-test126,126,Inbound,Allow,Tcp,126,126,*,*
in-test127,127,Inbound,Allow,Tcp,127,127,*,*
in-test128,128,Inbound,Allow,Tcp,128,128,*,*
in-test129,129,Inbound,Allow,Tcp,129,129,*,*
in-test130,130,Inbound,Allow,Tcp,130,130,*,*
in-test131,131,Inbound,Allow,Tcp,131,131,*,*
in-test132,132,Inbound,Allow,Tcp,132,132,*,*
in-test133,133,Inbound,Allow,Tcp,133,133,*,*
in-test134,134,Inbound,Allow,Tcp,134,134,*,*
in-test135,135,Inbound,Allow,Tcp,135,135,*,*
in-test136,136,Inbound,Allow,Tcp,136,136,*,*
in-test137,137,Inbound,Allow,Tcp,137,137,*,*
in-test138,138,Inbound,Allow,Tcp,138,138,*,*
in-test139,139,Inbound,Allow,Tcp,139,139,*,*
in-test140,140,Inbound,Allow,Tcp,140,140,*,*
in-test141,141,Inbound,Allow,Tcp,141,141,*,*
in-test142,142,Inbound,Allow,Tcp,142,142,*,*
in-test143,143,Inbound,Allow,Tcp,143,143,*,*
in-test144,144,Inbound,Allow,Tcp,144,144,*,*
in-test145,145,Inbound,Allow,Tcp,145,145,*,*
in-test146,146,Inbound,Allow,Tcp,146,146,*,*
in-test147,147,Inbound,Allow,Tcp,147,147,*,*
in-test148,148,Inbound,Allow,Tcp,148,148,*,*
in-test149,149,Inbound,Allow,Tcp,149,149,*,*
in-test150,150,Inbound,Allow,Tcp,150,150,*,*
in-test151,151,Inbound,Allow,Tcp,151,151,*,*
in-test152,152,Inbound,Allow,Tcp,152,152,*,*
in-test153,153,Inbound,Allow,Tcp,153,153,*,*
in-test154,154,Inbound,Allow,Tcp,154,154,*,*
in-test155,155,Inbound,Allow,Tcp,155,155,*,*
in-test156,156,Inbound,Allow,Tcp,156,156,*,*
in-test157,157,Inbound,Allow,Tcp,157,157,*,*
in-test158,158,Inbound,Allow,Tcp,158,158,*,*
in-test159,159,Inbound,Allow,Tcp,159,159,*,*
